COD_REGIONE;DESC_REGIONE;COD_PROVINCIA;DESC_PROVINCIA;COD_COMUNE;DESC_COMUNE;SIGLA_PROVINCIA;ANNO_CENSIMENTO;POPOLAZIONE_CENSITA_TOT;MAGG_PROP;DESC_TEMPO_GESTIONE;DATA_TEMPO_ELETTORALE;DATA_BALLOTTAGGIO;CONSIGLIERI_SPETTANTI;ASSESSORI_ASSEGNATI;SIGLA_TITOLO_ACCADEMICO;COGNOME;NOME;SESSO;DATA_NASCITA;DESC_SEDE_NASCITA;SEQ_ORDINA;DESCRIZIONE_CARICA;DATA_NOMINA;DESC_PARTITO;TIPO_MOVIMENTAZIONE;COD_MOVIMENTAZIONE;DESCRIZIONE;DATA_MOVIMENTAZIONE;DATA_CESSAZIONE;TITOLO_DI_STUDIO;PROFESSIONE
01;PIEMONTE;002;ALESSANDRIA;0000;;AL;2001;418231;;ORDINARIA;07/06/2009;21/06/2009;30;10;DOTT;FILIPPI;PAOLO;M;15/09/1962;CASALE MONFERRATO (AL);10;Presidente della provincia;23/06/2009;DI PIETRO ITALIA DEI VALORI | PARTITO DEMOCRATICO | LISTA LOCALE: IN PROVINCIA FILIPPI PRESIDENTE | Colore Politico non pervenuto | LISTA LOCALE: CIVICA MOVIMENTO DEMOCRATICO CRESCERE INSIEME PER LA PROVINCIA | CEN-SIN(LS.CIVICHE) | SINISTRA E LIBERTA' | COMUNISTI ITALIANI | MODERATI;N;901;PRIMA NOMINA;23/06/2009;;LAUREA;IMPIEGATI  AMMINISTRATIVI CON MANSIONI DIRETTIVE E DI CONCETTO
01;PIEMONTE;002;ALESSANDRIA;0000;;AL;2001;418231;;ORDINARIA;07/06/2009;21/06/2009;30;10;INS;ROSSA;MARIA RITA;F;19/04/1966;ALESSANDRIA (AL);20;Vicepresidente della provincia di origine elettiva;10/07/2009;PARTITO DEMOCRATICO;N;901;PRIMA NOMINA;10/07/2009;;LAUREA;PROFESSORI DI SCUOLA SECONDARIA SUPERIORE E ASSIMILATI
01;PIEMONTE;002;ALESSANDRIA;0000;;AL;2001;418231;;ORDINARIA;07/06/2009;21/06/2009;30;10;;COMASCHI;GIAN FRANCO;M;01/01/1957;TRISOBBIO (AL);50;Assessore;10/07/2009;PARTITO DEMOCRATICO;N;901;PRIMA NOMINA;10/07/2009;;LAUREA;PROFESSIONI NON ALTROVE CLASSIFICABILI
01;PIEMONTE;002;ALESSANDRIA;0000;;AL;2001;418231;;ORDINARIA;07/06/2009;21/06/2009;30;10;;MIRAGLIA;VINCENZO CESARE;M;18/09/1956;ARGENTINA;50;Assessore;22/11/2010;;N;901;Proclamazione;22/11/2010;;LICENZA DI SCUOLA MEDIA SUP. O TITOLI EQUIPOLLENTI;COMMERCIANTI E ESERCENTI DI NEGOZIO
01;PIEMONTE;002;ALESSANDRIA;0000;;AL;2001;418231;;ORDINARIA;07/06/2009;21/06/2009;30;10;RAG;CALDONE;GIANCARLO;M;30/01/1957;VOLPEDO (AL);50;Assessore;10/07/2009;SINISTRA E LIBERTA';N;901;PRIMA NOMINA;10/07/2009;;LICENZA DI SCUOLA MEDIA SUP. O TITOLI EQUIPOLLENTI;IMPIEGATI  AMMINISTRATIVI CON MANSIONI DIRETTIVE E DI CONCETTO
01;PIEMONTE;002;ALESSANDRIA;0000;;AL;2001;418231;;ORDINARIA;07/06/2009;21/06/2009;30;10;;BARBADORO;MASSIMO;M;11/10/1966;MONDAVIO (PS);50;Assessore;10/07/2009;COMUNISTI ITALIANI;N;901;PRIMA NOMINA;10/07/2009;;LICENZA DI SCUOLA MEDIA SUP. O TITOLI EQUIPOLLENTI;IMPIEGATI  AMMINISTRATIVI NON ALTROVE CLASSIFICATI
01;PIEMONTE;002;ALESSANDRIA;0000;;AL;2001;418231;;ORDINARIA;07/06/2009;21/06/2009;30;10;;BREGLIA;RAFFAELE;M;15/12/1970;CASTELNUOVO SCRIVIA (AL);50;Assessore;10/07/2009;DI PIETRO ITALIA DEI VALORI;N;901;PRIMA NOMINA;10/07/2009;;LICENZA DI SCUOLA MEDIA INF. O TITOLI EQUIPOLLENTI;IMPRENDITORI TITOLARI E AMMIN. DELEGATI DI IMPRESE INDUSTRIALI, DEI TRASPORTI, DEL CREDITO DEI SERVIZI
01;PIEMONTE;002;ALESSANDRIA;0000;;AL;2001;418231;;ORDINARIA;07/06/2009;21/06/2009;30;10;;RAVA;LINO CARLO;M;03/04/1956;TAGLIOLO MONFERRATO (AL);50;Assessore;10/07/2009;PARTITO DEMOCRATICO;N;901;PRIMA NOMINA;10/07/2009;;LAUREA;INGEGNERI EDILI
01;PIEMONTE;002;ALESSANDRIA;0000;;AL;2001;418231;;ORDINARIA;07/06/2009;21/06/2009;30;10;;MORO;GRAZIANO;M;05/08/1955;SERRAVALLE SCRIVIA (AL);50;Assessore;10/07/2009;PARTITO DEMOCRATICO;N;901;PRIMA NOMINA;10/07/2009;;LICENZA DI SCUOLA MEDIA SUP. O TITOLI EQUIPOLLENTI;TECNICI CON MANSIONI ESECUTIVE ESCLUSE LE PROFESSIONI AGRICOLE
01;PIEMONTE;002;ALESSANDRIA;0000;;AL;2001;418231;;ORDINARIA;07/06/2009;21/06/2009;30;10;;MORANDO;MARIA GRAZIA;F;29/11/1948;ARQUATA SCRIVIA (AL);50;Assessore;10/07/2009;PARTITO DEMOCRATICO;N;901;PRIMA NOMINA;10/07/2009;;LICENZA DI SCUOLA MEDIA SUP. O TITOLI EQUIPOLLENTI;PERSONE RITIRATE DAL LAVORO
