nome,tot,male,female
A IPPOLITO,5,5,0
A MARIA,5,0,5
A. ANGELO,3,3,0
A. GIUSEPPE,1,1,0
A. MARIA,5,0,5
A. ORESTE,3,3,0
A. VITTORIO,5,5,0
A.M.LODOVICA,5,0,5
A.R. MARIA,5,0,5
A.RAFFAELE,10,10,0
AAMEDEO,5,5,0
AANDREA,5,5,0
AARON,5,5,0
ABA,1,0,1
ABATE SLVATORE,5,5,0
ABBONDANZA,10,0,10
ABBONDIO,101,101,0
ABDENACO,5,5,0
ABDERRAHMANE,1,1,0
ABDON,16,16,0
ABDREA,5,5,0
ABELE,426,426,0
ABELE ANGELO,4,4,0
ABELE LEO,4,4,0
ABELIO,7,7,0
ABONDIO,13,13,0
ABRAHAMO,10,10,0
ABRAMO,581,581,0
ABRAMO CALOGERO,2,2,0
ABRAMO FILIPPO,16,16,0
ABRAMO GINO,10,10,0
ABRAMO GIUSEPPE,4,4,0
ABRAMO MIRTO,10,10,0
ABRAMO OTTORINO,5,5,0
ABRIZIO,4,4,0
ACAPITO,5,5,0
ACCURSILVIO,6,6,0
ACCURSIO,38,38,0
ACHILL,3,3,0
ACHILLE,3825,3825,0
ACHILLE ALVARO,5,5,0
ACHILLE ANDREA,5,5,0
ACHILLE ANSELMO,5,5,0
ACHILLE ANTONINO,2,2,0
ACHILLE ANTONIO,11,11,0
ACHILLE AUGUSTO,3,3,0
ACHILLE C,10,10,0
ACHILLE CARLO,15,15,0
ACHILLE ENOC,5,5,0
ACHILLE F.,5,5,0
ACHILLE FAC,10,10,0
ACHILLE FELICE,10,10,0
ACHILLE FILIBERTO,5,5,0
ACHILLE FRANCESCO,27,27,0
ACHILLE GIANCARLO,8,8,0
ACHILLE GIOVANNI,5,5,0
ACHILLE IGNAZIO,20,20,0
ACHILLE LUIGI,15,15,0
ACHILLE MARIA,7,7,0
ACHILLE MARIO,20,20,0
ACHILLE PAOLO,5,5,0
ACHILLE PIETRO,8,8,0
ACHILLE SANDRO,2,2,0
ACHILLE SERGIO,8,8,0
ACHILLE UMBERTO,22,22,0
ACHILLE VINCENZO,15,15,0
ACHILLE VIRGINIO,5,5,0
ACHILLE VITTORIO,5,5,0
ACHIROPITA,37,0,37
ACQUILINO,9,9,0
ACQUOSO LUCA,5,5,0
ADA,816,3,813
ADA CAROLINA,10,0,10
ADA CINZIA,2,0,2
ADA CLEMENTINA,9,0,9
ADA DEBORA,12,0,12
ADA GIOVANNA,1,0,1
ADA GIUSEPPINA,1,0,1
ADA INES,14,0,14
ADA LEONARDA,10,0,10
ADA LISA,26,0,26
ADA LUCIA,4,0,4
ADA LUISIANA,5,0,5
ADA MARIA,27,0,27
ADA NATALINA,5,0,5
ADA RITA,15,0,15
ADA SONIA,10,0,10
ADA UGHETTA,4,0,4
ADA ZITA,10,0,10
ADALBERT,85,85,0
ADALBERTA,21,0,21
ADALBERTO,757,757,0
ADALENA,4,0,4
ADALGISA,147,0,147
ADALGISIO,10,10,0
ADALGISO,24,24,0
ADALINO,34,34,0
ADAMA,2,2,0
ADAMANTONIO,9,9,0
ADAMO,1014,1014,0
ADAMO ANGELO,20,20,0
ADAMO ANTONIO,10,10,0
ADAMO ANTONIO DETTO ADAMO,3,3,0
ADAMO DAMIANO,5,5,0
ADAMO DOMENICO,5,5,0
ADAMO DONATO,3,3,0
ADAMO GIORGIO,3,3,0
ADAMO GIUSEPPE,7,7,0
ADAMO LORENZO,19,19,0
ADAMO MARIO,10,10,0
ADAMO PIETRO,4,4,0
ADAMOANTONIO,4,4,0
ADAMONICOLA,4,4,0
ADAMS,5,5,0
ADAN,6,6,0
ADANELLA,10,0,10
ADAR,5,5,0
ADARITA,14,0,14
ADASTRO,40,40,0
ADDAMO CONO,17,17,0
ADDIS,16,0,16
ADDO,5,5,0
ADDOLARATA,4,0,4
ADDOLORATA,120,0,120
ADDOLORATA FILOMENA,10,0,10
ADDOLORATA LETIZIA,4,0,4
ADDOLORATA MARIA,14,0,14
ADDOLORATO,41,41,0
ADDOLORATO FILOMENO,4,4,0
ADDOLORATO GIOVANNI,4,4,0
ADDONE,10,10,0
ADEGLIO,4,4,0
ADEL,5,5,0
ADELAIDE,161,0,161
ADELAIDE FABIOLA,10,0,10
ADELAIDE TERENGHI,5,0,5
ADELAIDE TIZIANA,2,0,2
ADELAURA,4,0,4
ADELBERT,10,10,0
ADELCHI,258,258,0
ADELCHI ALBERTO,4,4,0
ADELCHI CELESTINO,4,4,0
ADELCHI GABRIELE,1,1,0
ADELCHI PASQUALE,6,6,0
ADELCO,4,4,0
ADELE,949,0,949
ADELE ANNA,24,0,24
ADELE ANNUNC,5,0,5
ADELE CARLA,6,0,6
ADELE CHIARA,5,0,5
ADELE ELENA,5,0,5
ADELE EMMA,1,0,1
ADELE ERIKA,25,0,25
ADELE IN SANTALUCIA,10,0,10
ADELE IRENE,9,0,9
ADELE LUCIA,1,0,1
ADELE MARIA,1,0,1
ADELE MARIA S.,4,0,4
ADELE NEVINIA,2,0,2
ADELE ROSA,30,0,30
ADELELMA,2,0,2
ADELELMO,35,35,0
ADELFINA,5,0,5
ADELFIO,18,18,0
ADELFO,53,53,0
ADELGER,23,23,0
ADELGISO,28,28,0
ADELHEID,34,5,29
ADELHEID LARA,10,0,10
ADELI,8,8,0
ADELIA,99,0,99
ADELIDE,4,0,4
ADELIDIO,5,5,0
ADELINA,267,0,267
ADELINA ANNA,5,0,5
ADELINA DINA,10,0,10
ADELINA ELISABETTA,10,0,10
ADELINA FRANCESCA,4,0,4
ADELINDA,8,0,8
ADELINDE,5,0,5
ADELINDO,29,29,0
ADELINO,422,422,0
ADELINO LEOPOLDO,2,2,0
ADELINO RAFFAELE,10,10,0
ADELINO UMBERTO,5,5,0
ADELIO,1268,1268,0
ADELIO ACHILLE,10,10,0
ADELIO BATTISTA,9,9,0
ADELIO FELICE,8,8,0
ADELIO GABRIELE,9,9,0
ADELIO GIORGIO,7,7,0
ADELIO GIOVANNI,24,24,0
ADELIO GIUSEPPE,14,14,0
ADELIO MARIA,4,4,0
ADELIO MARIO,3,3,0
ADELISA,21,0,21
ADELLO,27,27,0
ADELMA,29,0,29
ADELMARE,1,1,0
ADELMINO,5,5,0
ADELMO,855,855,0
ADELMO ARTURO,10,10,0
ADELMO GIUSEPPE,9,9,0
ADELMO PALMIRO,4,4,0
ADELMO VAL,10,10,0
ADELMO VALENTIN,10,10,0
ADELVALDA,17,0,17
ADEMARO,23,23,0
ADEMIO,4,4,0
ADEMLO,5,5,0
ADENACO,25,25,0
ADENIO,8,8,0
ADEO,10,10,0
ADEO GIUSEPPE,12,12,0
ADEODATO,10,10,0
ADEODATO FRANCESCO,1,1,0
ADERBALE,5,5,0
ADERENZIO,15,15,0
ADERICO,10,10,0
ADERINA,5,0,5
ADERITO,34,34,0
ADIBERTO,13,13,0
ADIGLA JONAS,12,12,0
ADINO,29,29,0
ADIO ASSUNTO,5,5,0
ADIS,3,3,0
ADIS FLAVIO,5,5,0
ADLAI,9,9,0
ADLER,16,16,0
ADMETO,5,5,0
ADMO,26,26,0
ADO,70,70,0
ADO GUIDO,5,5,0
ADO ROBERTO,14,14,0
ADOLF,329,329,0
ADOLF JOSEF,5,5,0
ADOLFA,39,0,39
ADOLFINO,2,2,0
ADOLFO,2975,2975,0
ADOLFO ACHILLE,5,5,0
ADOLFO ALESSANDRO,14,14,0
ADOLFO ALFREDO,1,1,0
ADOLFO ANTONIO,4,4,0
ADOLFO BARTOLOMEO,5,5,0
ADOLFO BATTISTA,6,6,0
ADOLFO CAMILLO,5,5,0
ADOLFO CLAUDIO,8,8,0
ADOLFO COSIMO,10,10,0
ADOLFO DANTE,13,13,0
ADOLFO EMILIANO,4,4,0
ADOLFO FRANCESCO,5,5,0
ADOLFO GIOVANNI,2,2,0
ADOLFO LUIGI,3,3,0
ADOLFO MARIA,1,1,0
ADOLFO MARIO,4,4,0
ADOLFO NINO,5,5,0
ADOLFO ROCCO,9,9,0
ADOLFO STEFANO,4,4,0
ADOLIVIO,4,4,0
ADOLORATINA,3,0,3
ADONE,127,127,0
ADONE LUCIANO,10,10,0
ADONELLA,72,0,72
ADONEO,3,3,0
ADONIS,6,6,0
ADORATA,3,0,3
ADOREA,5,0,5
ADORIANO,20,20,0
ADORINA,5,0,5
ADORINO,33,33,0
ADORNO,92,92,0
ADORPAOLO,10,10,0
ADRASTO,10,10,0
ADREA,5,5,0
ADREE,3,0,3
ADREINA,5,0,5
ADRIA,43,5,38
ADRIA ROMANA ITALIA,4,0,4
ADRIAN,30,30,0
ADRIAN0,5,5,0
ADRIANA,2652,0,2652
ADRIANA ANNA,9,0,9
ADRIANA BENEDETTA,10,0,10
ADRIANA CATERINA,23,0,23
ADRIANA FLORA,8,0,8
ADRIANA GIUSEPPINA,5,0,5
ADRIANA GRAZIELLA,1,0,1
ADRIANA LUIGINA,14,0,14
ADRIANA MARIA,36,0,36
ADRIANA MARIA SOFIA,5,0,5
ADRIANA MARIA TERESA,3,0,3
ADRIANA NADIA,7,0,7
ADRIANA PALMA,4,0,4
ADRIANA PASQUALINA,3,0,3
ADRIANA TERESA,21,0,21
ADRIANO,16163,16163,0
ADRIANO ALBERTO,15,15,0
ADRIANO ALESSIO,1,1,0
ADRIANO ALFONSO,12,12,0
ADRIANO ANGELO,24,24,0
ADRIANO ANTONIO,5,5,0
ADRIANO BARTOLOMEO,6,6,0
ADRIANO BRUNO,8,8,0
ADRIANO CARLO,5,5,0
ADRIANO CARMEN,3,3,0
ADRIANO CARMINE,5,5,0
ADRIANO COSIMO,4,4,0
ADRIANO COST,3,3,0
